name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,11 - 13,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,14 - 15,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,15 - 24,9023,4364,4658,1,,,,,9023,4364,4658,1
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,15 - 49,10549,4990,5558,1,,,,,10549,4990,5558,1
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,25 - 40,1462,593,869,,,,,,1462,593,869,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,41 - 60,103,49,54,,,,,,103,49,54,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,5,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,5 - 16,250,142,108,,,,,,250,142,108,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,6 - 10,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,>18,8638,4026,4612,,,,,,8638,4026,4612,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Graduation above,>60,11,2,9,,,,,,11,2,9,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,11 - 13,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,14 - 15,1008,506,502,,,,,,1008,506,502,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,15 - 24,6314,2947,3367,,,,,,6314,2947,3367,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,15 - 49,6461,3001,3460,,,,,,6461,3001,3460,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,25 - 40,130,44,86,,,,,,130,44,86,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,41 - 60,22,11,11,,,,,,22,11,11,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,5,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,5 - 16,2496,1248,1248,,,,,,2496,1248,1248,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,6 - 10,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,>18,1475,604,871,,,,,,1475,604,871,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Intermidiate,>60,4,2,2,,,,,,4,2,2,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,11 - 13,1099,690,409,,,,,,1099,690,409,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,14 - 15,3461,1821,1640,,,,,,3461,1821,1640,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,15 - 24,3475,1610,1865,,,,,,3475,1610,1865,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,15 - 49,3475,1610,1865,,,,,,3475,1610,1865,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,25 - 40,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,41 - 60,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,5,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,5 - 16,5691,3055,2636,,,,,,5691,3055,2636,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,6 - 10,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,>18,224,95,129,,,,,,224,95,129,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Matric,>60,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,11 - 13,8289,4185,4104,,,,,,8289,4185,4104,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,14 - 15,2244,1042,1202,,,,,,2244,1042,1202,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,15 - 24,1359,636,723,,,,,,1359,636,723,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,15 - 49,1359,636,723,,,,,,1359,636,723,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,25 - 40,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,41 - 60,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,5,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,5 - 16,11899,5905,5994,,,,,,11899,5905,5994,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,6 - 10,1019,519,500,,,,,,1019,519,500,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,>18,72,38,34,,,,,,72,38,34,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Middle,>60,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,11 - 13,4225,1927,2298,,,,,,4225,1927,2298,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,14 - 15,366,140,226,,,,,,366,140,226,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,15 - 24,220,96,124,,,,,,220,96,124,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,15 - 49,220,96,124,,,,,,220,96,124,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,25 - 40,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,41 - 60,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,5,3142,1520,1622,,,,,,3142,1520,1622,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,5 - 16,27905,13276,14629,,,,,,27905,13276,14629,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,6 - 10,20118,9656,10462,,,,,,20118,9656,10462,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,>18,16,4,12,,,,,,16,4,12,
AIRPORT,MALIR,SUB-DIVISION,Enrolment Primary,>60,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,11 - 13,15066,7442,7624,,,,,,15066,7442,7624,
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,14 - 15,8500,4235,4265,,,,,,8500,4235,4265,
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,15 - 24,37286,18063,19220,3,,,,,37286,18063,19220,3
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,15 - 49,102560,48297,54249,14,,,,,102560,48297,54249,14
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,25 - 40,47151,22382,24759,10,,,,,47151,22382,24759,10
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,41 - 60,32395,13654,18739,2,,,,,32395,13654,18739,2
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,5,3327,1614,1713,,,,,,3327,1614,1713,
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,5 - 16,53624,26185,27439,,,,,,53624,26185,27439,
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,6 - 10,22534,10834,11700,,,,,,22534,10834,11700,
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,>18,111608,50609,60985,14,,,,,111608,50609,60985,14
AIRPORT,MALIR,SUB-DIVISION,Ever Attended,>60,10558,4124,6434,,,,,,10558,4124,6434,
AIRPORT,MALIR,SUB-DIVISION,Literate,11 - 13,14667,7224,7443,,,,,,14667,7224,7443,
AIRPORT,MALIR,SUB-DIVISION,Literate,14 - 15,8578,4273,4305,,,,,,8578,4273,4305,
AIRPORT,MALIR,SUB-DIVISION,Literate,15 - 24,38475,18699,19773,3,,,,,38475,18699,19773,3
AIRPORT,MALIR,SUB-DIVISION,Literate,15 - 49,106866,50550,56302,14,,,,,106866,50550,56302,14
AIRPORT,MALIR,SUB-DIVISION,Literate,25 - 40,49282,23500,25772,10,,,,,49282,23500,25772,10
AIRPORT,MALIR,SUB-DIVISION,Literate,41 - 60,34300,14626,19672,2,,,,,34300,14626,19672,2
AIRPORT,MALIR,SUB-DIVISION,Literate,5,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Literate,5 - 16,43698,21561,22137,,,,,,43698,21561,22137,
AIRPORT,MALIR,SUB-DIVISION,Literate,6 - 10,16187,7966,8221,,,,,,16187,7966,8221,
AIRPORT,MALIR,SUB-DIVISION,Literate,>18,117130,53499,63617,14,,,,,117130,53499,63617,14
AIRPORT,MALIR,SUB-DIVISION,Literate,>60,11230,4485,6745,,,,,,11230,4485,6745,
AIRPORT,MALIR,SUB-DIVISION,Literate %,11 - 13,87.87,88.87,86.92,,,,,,87.87,88.87,86.92,
AIRPORT,MALIR,SUB-DIVISION,Literate %,14 - 15,85.2,87.08,83.41,,,,,,85.2,87.08,83.41,
AIRPORT,MALIR,SUB-DIVISION,Literate %,15 - 24,82.67,81.81,83.51000000000001,50,,,,,82.67,81.81,83.51000000000001,50
AIRPORT,MALIR,SUB-DIVISION,Literate %,15 - 49,80.90000000000001,77.97,83.73999999999999,50,,,,,80.90000000000001,77.97,83.73999999999999,50
AIRPORT,MALIR,SUB-DIVISION,Literate %,25 - 40,80.11,76.58,83.63,55.56,,,,,80.11,76.58,83.63,55.56
AIRPORT,MALIR,SUB-DIVISION,Literate %,41 - 60,78.61,72.56999999999999,83.81999999999999,25,,,,,78.61,72.56999999999999,83.81999999999999,25
AIRPORT,MALIR,SUB-DIVISION,Literate %,5,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Literate %,5 - 16,66.23999999999999,66.90000000000001,65.59999999999999,,,,,,66.23999999999999,66.90000000000001,65.59999999999999,
AIRPORT,MALIR,SUB-DIVISION,Literate %,6 - 10,57.46,57.57,57.35,,,,,,57.46,57.57,57.35,
AIRPORT,MALIR,SUB-DIVISION,Literate %,>18,79.81999999999999,75.5,83.88,45.16,,,,,79.81999999999999,75.5,83.88,45.16
AIRPORT,MALIR,SUB-DIVISION,Literate %,>60,76.77,68.15000000000001,83.81,,,,,,76.77,68.15000000000001,83.81,
AIRPORT,MALIR,SUB-DIVISION,Never to School (all),11 - 13,1626,687,939,,,,,,1626,687,939,
AIRPORT,MALIR,SUB-DIVISION,Never to School (all),14 - 15,1568,672,896,,,,,,1568,672,896,
AIRPORT,MALIR,SUB-DIVISION,Never to School (all),15 - 24,9254,4794,4457,3,,,,,9254,4794,4457,3
AIRPORT,MALIR,SUB-DIVISION,Never to School (all),15 - 49,29541,16538,12989,14,,,,,29541,16538,12989,14
AIRPORT,MALIR,SUB-DIVISION,Never to School (all),25 - 40,14370,8303,6059,8,,,,,14370,8303,6059,8
AIRPORT,MALIR,SUB-DIVISION,Never to School (all),41 - 60,11238,6501,4731,6,,,,,11238,6501,4731,6
AIRPORT,MALIR,SUB-DIVISION,Never to School (all),5,2601,1239,1362,,,,,,2601,1239,1362,
AIRPORT,MALIR,SUB-DIVISION,Never to School (all),5 - 16,12348,6043,6305,,,,,,12348,6043,6305,
AIRPORT,MALIR,SUB-DIVISION,Never to School (all),6 - 10,5638,3002,2636,,,,,,5638,3002,2636,
AIRPORT,MALIR,SUB-DIVISION,Never to School (all),>18,35128,20255,14856,17,,,,,35128,20255,14856,17
AIRPORT,MALIR,SUB-DIVISION,Never to School (all),>60,4071,2457,1614,,,,,,4071,2457,1614,
AIRPORT,MALIR,SUB-DIVISION,Population,11 - 13,16692,8129,8563,,,,,,16692,8129,8563,
AIRPORT,MALIR,SUB-DIVISION,Population,14 - 15,10068,4907,5161,,,,,,10068,4907,5161,
AIRPORT,MALIR,SUB-DIVISION,Population,15 - 24,46540,22857,23677,6,,,,,46540,22857,23677,6
AIRPORT,MALIR,SUB-DIVISION,Population,15 - 49,132101,64835,67238,28,,,,,132101,64835,67238,28
AIRPORT,MALIR,SUB-DIVISION,Population,25 - 40,61521,30685,30818,18,,,,,61521,30685,30818,18
AIRPORT,MALIR,SUB-DIVISION,Population,41 - 60,43633,20155,23470,8,,,,,43633,20155,23470,8
AIRPORT,MALIR,SUB-DIVISION,Population,5,5928,2853,3075,,,,,,5928,2853,3075,
AIRPORT,MALIR,SUB-DIVISION,Population,5 - 16,65972,32228,33744,,,,,,65972,32228,33744,
AIRPORT,MALIR,SUB-DIVISION,Population,6 - 10,28172,13836,14336,,,,,,28172,13836,14336,
AIRPORT,MALIR,SUB-DIVISION,Population,>18,146736,70864,75841,31,,,,,146736,70864,75841,31
AIRPORT,MALIR,SUB-DIVISION,Population,>60,14629,6581,8048,,,,,,14629,6581,8048,
AIRPORT,MALIR,SUB-DIVISION,Primary Completed,11 - 13,3096,1487,1609,,,,,,3096,1487,1609,
AIRPORT,MALIR,SUB-DIVISION,Primary Completed,14 - 15,685,310,375,,,,,,685,310,375,
AIRPORT,MALIR,SUB-DIVISION,Primary Completed,15 - 24,1688,855,833,,,,,,1688,855,833,
AIRPORT,MALIR,SUB-DIVISION,Primary Completed,15 - 49,4859,2580,2275,4,,,,,4859,2580,2275,4
AIRPORT,MALIR,SUB-DIVISION,Primary Completed,25 - 40,2244,1239,1002,3,,,,,2244,1239,1002,3
AIRPORT,MALIR,SUB-DIVISION,Primary Completed,41 - 60,1659,839,819,1,,,,,1659,839,819,1
AIRPORT,MALIR,SUB-DIVISION,Primary Completed,5,,,,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,Primary Completed,5 - 16,4864,2350,2514,,,,,,4864,2350,2514,
AIRPORT,MALIR,SUB-DIVISION,Primary Completed,6 - 10,872,437,435,,,,,,872,437,435,
AIRPORT,MALIR,SUB-DIVISION,Primary Completed,>18,5299,2793,2502,4,,,,,5299,2793,2502,4
AIRPORT,MALIR,SUB-DIVISION,Primary Completed,>60,553,289,264,,,,,,553,289,264,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Graduation above,11 - 13,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Graduation above,14 - 15,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Graduation above,15 - 24,5701,2548,3153,,,,,,5701,2548,3153,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Graduation above,15 - 49,6643,2922,3721,,,,,,6643,2922,3721,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Graduation above,25 - 40,896,367,529,,,,,,896,367,529,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Graduation above,41 - 60,66,13,53,,,,,,66,13,53,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Graduation above,5,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Graduation above,5 - 16,234,133,101,,,,,,234,133,101,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Graduation above,6 - 10,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Graduation above,>18,4883,2052,2831,,,,,,4883,2052,2831,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Graduation above,>60,3,,3,,,,,,3,,3,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Intermidiate,11 - 13,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Intermidiate,14 - 15,1364,693,671,,,,,,1364,693,671,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Intermidiate,15 - 24,7572,3438,4134,,,,,,7572,3438,4134,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Intermidiate,15 - 49,7844,3544,4300,,,,,,7844,3544,4300,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Intermidiate,25 - 40,215,89,126,,,,,,215,89,126,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Intermidiate,41 - 60,82,27,55,,,,,,82,27,55,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Intermidiate,5,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Intermidiate,5 - 16,3285,1660,1625,,,,,,3285,1660,1625,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Intermidiate,6 - 10,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Intermidiate,>18,1701,661,1040,,,,,,1701,661,1040,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Intermidiate,>60,7,1,6,,,,,,7,1,6,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Matric,11 - 13,1202,671,531,,,,,,1202,671,531,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Matric,14 - 15,4305,2026,2279,,,,,,4305,2026,2279,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Matric,15 - 24,4152,1802,2350,,,,,,4152,1802,2350,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Matric,15 - 49,4152,1802,2350,,,,,,4152,1802,2350,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Matric,25 - 40,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Matric,41 - 60,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Matric,5,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Matric,5 - 16,6676,3190,3486,,,,,,6676,3190,3486,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Matric,6 - 10,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Matric,>18,233,84,149,,,,,,233,84,149,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Matric,>60,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Middle,11 - 13,9404,4418,4986,,,,,,9404,4418,4986,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Middle,14 - 15,2472,1075,1397,,,,,,2472,1075,1397,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Middle,15 - 24,1537,661,876,,,,,,1537,661,876,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Middle,15 - 49,1537,661,876,,,,,,1537,661,876,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Middle,25 - 40,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Middle,41 - 60,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Middle,5,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Middle,5 - 16,13898,6462,7436,,,,,,13898,6462,7436,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Middle,6 - 10,1665,800,865,,,,,,1665,800,865,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Middle,>18,49,16,33,,,,,,49,16,33,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Middle,>60,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Primary,11 - 13,3379,1362,2017,,,,,,3379,1362,2017,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Primary,14 - 15,245,89,156,,,,,,245,89,156,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Primary,15 - 24,157,64,93,,,,,,157,64,93,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Primary,15 - 49,157,64,93,,,,,,157,64,93,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Primary,25 - 40,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Primary,41 - 60,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Primary,5,2867,1305,1562,,,,,,2867,1305,1562,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Primary,5 - 16,24736,11517,13219,,,,,,24736,11517,13219,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Primary,6 - 10,18191,8738,9453,,,,,,18191,8738,9453,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Primary,>18,14,8,6,,,,,,14,8,6,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Enrolment Primary,>60,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Ever Attended,11 - 13,15865,7310,8555,,,,,,15865,7310,8555,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Ever Attended,14 - 15,10310,4709,5601,,,,,,10310,4709,5601,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Ever Attended,15 - 24,40336,18361,21974,1,,,,,40336,18361,21974,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Ever Attended,15 - 49,109727,50697,59028,2,,,,,109727,50697,59028,2
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Ever Attended,25 - 40,48872,23500,25371,1,,,,,48872,23500,25371,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Ever Attended,41 - 60,35723,14845,20877,1,,,,,35723,14845,20877,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Ever Attended,5,3143,1428,1715,,,,,,3143,1428,1715,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Ever Attended,5 - 16,56210,26191,30019,,,,,,56210,26191,30019,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Ever Attended,6 - 10,21877,10433,11444,,,,,,21877,10433,11444,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Ever Attended,>18,115172,51673,63496,3,,,,,115172,51673,63496,3
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Ever Attended,>60,9826,3680,6146,,,,,,9826,3680,6146,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate,11 - 13,15629,7246,8383,,,,,,15629,7246,8383,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate,14 - 15,10371,4752,5619,,,,,,10371,4752,5619,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate,15 - 24,41045,18668,22376,1,,,,,41045,18668,22376,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate,15 - 49,112760,52102,60656,2,,,,,112760,52102,60656,2
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate,25 - 40,50508,24251,26256,1,,,,,50508,24251,26256,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate,41 - 60,37298,15630,21667,1,,,,,37298,15630,21667,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate,5,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate,5 - 16,47604,22390,25214,,,,,,47604,22390,25214,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate,6 - 10,16499,8050,8449,,,,,,16499,8050,8449,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate,>18,119646,53800,65843,3,,,,,119646,53800,65843,3
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate,>60,10670,4080,6590,,,,,,10670,4080,6590,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate %,11 - 13,92.48,91.69,93.18000000000001,,,,,,92.48,91.69,93.18000000000001,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate %,14 - 15,89.92,91.26000000000001,88.81999999999999,,,,,,89.92,91.26000000000001,88.81999999999999,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate %,15 - 24,90.31999999999999,91.13,89.65000000000001,100,,,,,90.31999999999999,91.13,89.65000000000001,100
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate %,15 - 49,87.19,87.56,86.87,100,,,,,87.19,87.56,86.87,100
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate %,25 - 40,85.93000000000001,86.51000000000001,85.39,100,,,,,85.93000000000001,86.51000000000001,85.39,100
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate %,41 - 60,83.33,81.17,84.95,50,,,,,83.33,81.17,84.95,50
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate %,5,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate %,5 - 16,75.68000000000001,76.28,75.16,,,,,,75.68000000000001,76.28,75.16,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate %,6 - 10,68.51000000000001,69.70999999999999,67.41,,,,,,68.51000000000001,69.70999999999999,67.41,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate %,>18,84.98999999999999,84,85.81999999999999,60,,,,,84.98999999999999,84,85.81999999999999,60
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Literate %,>60,75.75,66.76000000000001,82.65000000000001,,,,,,75.75,66.76000000000001,82.65000000000001,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Never to School (all),11 - 13,1035,593,442,,,,,,1035,593,442,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Never to School (all),14 - 15,1223,498,725,,,,,,1223,498,725,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Never to School (all),15 - 24,5109,2125,2984,,,,,,5109,2125,2984,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Never to School (all),15 - 49,19605,8809,10796,,,,,,19605,8809,10796,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Never to School (all),25 - 40,9909,4531,5378,,,,,,9909,4531,5378,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Never to School (all),41 - 60,9039,4410,4628,1,,,,,9039,4410,4628,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Never to School (all),5,1412,640,772,,,,,,1412,640,772,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Never to School (all),5 - 16,6691,3162,3529,,,,,,6691,3162,3529,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Never to School (all),6 - 10,2205,1115,1090,,,,,,2205,1115,1090,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Never to School (all),>18,25606,12374,13230,2,,,,,25606,12374,13230,2
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Never to School (all),>60,4259,2431,1827,1,,,,,4259,2431,1827,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Population,11 - 13,16900,7903,8997,,,,,,16900,7903,8997,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Population,14 - 15,11533,5207,6326,,,,,,11533,5207,6326,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Population,15 - 24,45445,20486,24958,1,,,,,45445,20486,24958,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Population,15 - 49,129332,59506,69824,2,,,,,129332,59506,69824,2
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Population,25 - 40,58781,28031,30749,1,,,,,58781,28031,30749,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Population,41 - 60,44762,19255,25505,2,,,,,44762,19255,25505,2
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,Population,5,4555,2068,2487,,,,,,4555,2068,2487,
